"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1994 - Stemmeberettigede";"EV1994 - Afgivne stemmer";"EV1994 - Blanke stemmer";"EV1994 - Andre ugyldige stemmer";"EV1994 - Gyldige stemmer";"EV1994 - A. Socialdemokratiet";"EV1994 - B. Det Radikale Venstre";"EV1994 - C. Det Konservative Folkeparti";"EV1994 - D. Centrum-Demokraterne";"EV1994 - F. Socialistisk Folkeparti";"EV1994 - J. JuniBevægelsen";"EV1994 - N. Folkebevægelsen mod EF-Unionen";"EV1994 - Q. Kristeligt Folkeparti";"EV1994 - V. Venstre, Danmarks Liberale Parti";"EV1994 - Z. Fremskridtspartiet"
"101064";"101064";"13";"2";"1";"11084";"6095";"59";"17";"6019";"867";"557";"907";"57";"675";"1299";"875";"52";"572";"158"
"101066";"101066";"13";"2";"1";"4777";"2547";"25";"4";"2518";"363";"239";"415";"29";"301";"485";"368";"12";"242";"64"
"101068";"101068";"6";"2";"1";"9426";"5318";"61";"18";"5239";"668";"499";"826";"69";"661";"1003";"797";"41";"562";"113"
"101070";"101070";"6";"2";"1";"4202";"2341";"17";"15";"2309";"496";"176";"239";"30";"285";"430";"445";"13";"153";"42"
"101072";"101072";"6";"2";"1";"16533";"8391";"67";"21";"8303";"1134";"781";"1149";"93";"1035";"1657";"1342";"75";"843";"194"
"101074";"101074";"3";"1";"1";"8712";"4090";"37";"17";"4036";"675";"287";"493";"26";"423";"973";"702";"29";"333";"95"
"101076";"101076";"3";"1";"1";"4392";"2288";"18";"7";"2263";"326";"158";"325";"19";"289";"485";"336";"11";"245";"69"
"101078";"101078";"3";"1";"1";"13686";"6398";"57";"27";"6314";"1016";"448";"753";"46";"722";"1465";"1201";"50";"457";"156"
"101080";"101080";"14";"3";"1";"6328";"3503";"39";"12";"3452";"504";"258";"501";"21";"474";"711";"604";"25";"272";"82"
"101082";"101082";"14";"3";"1";"5016";"2557";"24";"20";"2513";"478";"187";"284";"25";"300";"508";"494";"13";"167";"57"
"101084";"101084";"14";"3";"1";"5014";"2622";"21";"13";"2588";"555";"153";"319";"20";"279";"585";"427";"8";"173";"69"
"101086";"101086";"9";"2";"1";"5868";"3404";"26";"11";"3367";"310";"336";"812";"36";"322";"513";"436";"31";"488";"83"
"101088";"101088";"14";"3";"1";"4459";"2346";"29";"8";"2309";"393";"223";"283";"16";"253";"465";"395";"14";"197";"70"
"101090";"101090";"10";"2";"1";"8737";"4514";"63";"19";"4432";"578";"409";"525";"37";"576";"968";"803";"41";"412";"83"
"101092";"101092";"11";"2";"1";"2029";"1256";"13";"5";"1238";"195";"101";"169";"17";"142";"248";"230";"11";"97";"28"
"101094";"101094";"16";"3";"1";"8834";"3985";"30";"18";"3937";"748";"214";"285";"23";"446";"926";"933";"13";"226";"123"
"101096";"101096";"13";"2";"1";"3425";"1941";"21";"5";"1915";"294";"184";"290";"21";"225";"377";"275";"14";"191";"44"
"101098";"101098";"13";"2";"1";"4540";"2536";"22";"8";"2506";"307";"217";"380";"36";"314";"564";"365";"19";"232";"72"
"147001";"147001";"17";"3";"1";"7955";"4838";"41";"5";"4792";"414";"539";"1249";"78";"534";"784";"567";"17";"524";"86"
"147002";"147002";"17";"3";"1";"8366";"5162";"51";"10";"5101";"394";"555";"1510";"65";"574";"713";"564";"25";"621";"80"
"147003";"147003";"18";"3";"1";"13231";"7356";"59";"38";"7259";"862";"702";"1747";"60";"685";"1259";"997";"32";"739";"176"
"147004";"147004";"18";"3";"1";"10078";"5814";"56";"22";"5736";"599";"540";"1826";"85";"479";"755";"614";"58";"658";"122"
"147005";"147005";"18";"3";"1";"12237";"6696";"64";"14";"6618";"636";"729";"1392";"79";"809";"1252";"830";"34";"748";"109"
"147007";"147007";"19";"3";"1";"8194";"4803";"52";"6";"4745";"392";"524";"1182";"45";"511";"802";"577";"21";"564";"127"
"147008";"147008";"19";"3";"1";"12648";"7438";"72";"21";"7345";"784";"751";"1892";"91";"701";"1242";"926";"46";"763";"149"
"151001";"151001";"22";"4";"2";"4552";"2394";"25";"9";"2360";"527";"184";"251";"20";"253";"515";"314";"3";"219";"74"
"151002";"151002";"22";"4";"2";"7063";"3529";"50";"13";"3466";"718";"268";"452";"31";"334";"712";"463";"23";"342";"123"
"151003";"151003";"22";"4";"2";"2698";"1580";"15";"2";"1563";"268";"160";"277";"19";"165";"269";"160";"8";"199";"38"
"151004";"151004";"22";"4";"2";"2833";"1291";"13";"7";"1271";"275";"72";"157";"12";"126";"303";"189";"8";"88";"41"
"151005";"151005";"22";"4";"2";"3800";"2457";"32";"4";"2421";"393";"272";"428";"37";"251";"394";"266";"12";"302";"66"
"151006";"151006";"22";"4";"2";"4366";"2312";"31";"5";"2276";"523";"155";"192";"11";"308";"538";"350";"3";"125";"71"
"151007";"151007";"22";"4";"2";"1585";"1047";"13";"1";"1033";"164";"96";"200";"7";"130";"160";"129";"7";"108";"32"
"151009";"151009";"22";"4";"2";"3002";"1838";"18";"2";"1818";"220";"196";"391";"23";"213";"297";"171";"10";"260";"37"
"151109";"151109";"22";"4";"2";"4345";"2512";"27";"7";"2478";"340";"244";"408";"14";"364";"483";"301";"11";"247";"66"
"153001";"153001";"26";"4";"2";"3443";"2013";"23";"8";"1982";"397";"153";"328";"26";"194";"335";"261";"7";"224";"57"
"153002";"153002";"26";"4";"2";"3622";"1589";"18";"3";"1568";"311";"118";"210";"12";"137";"308";"279";"3";"146";"44"
"153003";"153003";"26";"4";"2";"3287";"1711";"22";"10";"1679";"341";"136";"206";"22";"193";"346";"238";"11";"150";"36"
"153004";"153004";"26";"4";"2";"2355";"1141";"11";"8";"1122";"269";"84";"118";"6";"107";"227";"203";"1";"70";"37"
"153005";"153005";"26";"4";"2";"3805";"2147";"29";"4";"2114";"421";"196";"315";"22";"203";"428";"291";"4";"194";"40"
"153006";"153006";"26";"4";"2";"3746";"1739";"27";"7";"1705";"343";"119";"244";"27";"187";"349";"231";"6";"137";"62"
"153007";"153007";"26";"4";"2";"3724";"1869";"23";"5";"1841";"324";"139";"267";"19";"158";"380";"301";"11";"183";"59"
"155001";"155001";"27";"4";"2";"3229";"2061";"18";"4";"2039";"180";"193";"641";"36";"191";"228";"200";"10";"327";"33"
"155002";"155002";"27";"4";"2";"3362";"1884";"20";"2";"1862";"165";"185";"533";"24";"144";"254";"164";"1";"322";"70"
"155003";"155003";"27";"4";"2";"2874";"1729";"17";"5";"1707";"202";"177";"406";"19";"169";"272";"231";"3";"197";"31"
"157001";"157001";"20";"4";"2";"5459";"3577";"29";"2";"3546";"156";"359";"1462";"54";"265";"304";"235";"19";"631";"61"
"157002";"157002";"20";"4";"2";"4585";"2809";"19";"3";"2787";"257";"294";"797";"32";"263";"399";"278";"29";"361";"77"
"157003";"157003";"20";"4";"2";"5313";"3257";"20";"6";"3231";"165";"304";"1247";"53";"252";"313";"240";"12";"592";"53"
"157004";"157004";"20";"4";"2";"5682";"3280";"29";"12";"3239";"303";"303";"1002";"34";"269";"475";"336";"17";"423";"77"
"157005";"157005";"20";"4";"2";"5041";"3136";"38";"4";"3094";"190";"299";"1123";"59";"251";"364";"228";"15";"503";"62"
"157006";"157006";"24";"4";"2";"5926";"3989";"43";"1";"3945";"147";"389";"1589";"51";"281";"414";"223";"14";"752";"85"
"157007";"157007";"24";"4";"2";"5566";"3557";"31";"2";"3524";"209";"324";"1250";"40";"280";"416";"313";"37";"602";"53"
"157008";"157008";"24";"4";"2";"4574";"2900";"26";"7";"2867";"173";"300";"1122";"34";"196";"308";"184";"11";"486";"53"
"157009";"157009";"24";"4";"2";"5275";"3333";"30";"4";"3299";"137";"293";"1342";"32";"167";"333";"216";"9";"716";"54"
"157010";"157010";"24";"4";"2";"5085";"3071";"25";"2";"3044";"145";"232";"1368";"45";"162";"227";"164";"6";"650";"45"
"159001";"159001";"25";"4";"2";"5165";"3243";"45";"10";"3188";"368";"349";"753";"70";"285";"509";"323";"15";"441";"75"
"159002";"159002";"25";"4";"2";"3243";"1848";"28";"7";"1813";"296";"182";"304";"37";"189";"341";"201";"23";"173";"67"
"159003";"159003";"25";"4";"2";"6105";"3352";"41";"10";"3301";"517";"309";"482";"61";"415";"650";"448";"16";"329";"74"
"159004";"159004";"25";"4";"2";"2875";"1559";"22";"8";"1529";"349";"123";"142";"20";"176";"320";"256";"20";"80";"43"
"159005";"159005";"25";"4";"2";"3193";"1828";"17";"6";"1805";"279";"212";"256";"18";"235";"329";"245";"15";"168";"48"
"159006";"159006";"25";"4";"2";"3971";"2395";"30";"4";"2361";"292";"252";"391";"53";"336";"425";"313";"18";"207";"74"
"159007";"159007";"25";"4";"2";"5151";"2974";"35";"11";"2928";"539";"257";"369";"31";"366";"662";"431";"14";"164";"95"
"159008";"159008";"25";"4";"2";"6206";"3869";"41";"5";"3823";"477";"468";"757";"69";"529";"615";"380";"15";"448";"65"
"159009";"159009";"25";"4";"2";"3815";"2377";"21";"4";"2352";"273";"274";"387";"34";"278";"490";"301";"19";"227";"69"
"159010";"159010";"25";"4";"2";"4695";"2702";"39";"6";"2657";"418";"223";"461";"54";"337";"478";"314";"23";"288";"61"
"159011";"159011";"25";"4";"2";"2706";"1365";"13";"8";"1344";"178";"138";"274";"26";"127";"213";"172";"13";"170";"33"
"161001";"161001";"23";"4";"2";"2024";"1229";"10";"5";"1214";"187";"113";"222";"7";"145";"231";"139";"9";"107";"54"
"161002";"161002";"23";"4";"2";"2350";"1263";"15";"3";"1245";"186";"135";"292";"5";"97";"215";"107";"8";"165";"35"
"161003";"161003";"23";"4";"2";"4233";"2125";"38";"6";"2081";"383";"192";"308";"20";"184";"421";"226";"11";"261";"75"
"161004";"161004";"23";"4";"2";"3582";"1878";"24";"7";"1847";"453";"164";"206";"7";"194";"411";"202";"16";"126";"68"
"161005";"161005";"23";"4";"2";"1427";"913";"15";"1";"897";"84";"96";"259";"11";"73";"91";"57";"7";"201";"18"
"161006";"161006";"23";"4";"2";"2315";"1192";"23";"2";"1167";"200";"91";"193";"6";"148";"252";"126";"9";"119";"23"
"163001";"163001";"28";"4";"2";"2063";"1073";"14";"1";"1058";"249";"85";"142";"19";"127";"206";"126";"17";"57";"30"
"163002";"163002";"28";"4";"2";"4529";"2578";"37";"7";"2534";"464";"211";"405";"18";"273";"451";"351";"35";"243";"83"
"163003";"163003";"28";"4";"2";"4254";"2377";"23";"2";"2352";"315";"227";"442";"35";"267";"428";"305";"26";"236";"71"
"163004";"163004";"28";"4";"2";"5458";"3243";"34";"8";"3201";"527";"337";"609";"45";"377";"538";"381";"37";"290";"60"
"163005";"163005";"28";"4";"2";"3717";"1870";"29";"3";"1838";"349";"184";"237";"13";"184";"374";"276";"27";"166";"28"
"165001";"165001";"23";"4";"2";"4818";"2936";"40";"7";"2889";"325";"219";"450";"28";"380";"682";"521";"11";"232";"41"
"165002";"165002";"23";"4";"2";"3651";"2242";"27";"3";"2212";"298";"232";"389";"28";"320";"427";"275";"10";"184";"49"
"165003";"165003";"23";"4";"2";"2906";"1225";"11";"4";"1210";"245";"93";"130";"6";"159";"258";"214";"9";"59";"37"
"165004";"165004";"23";"4";"2";"4266";"2084";"27";"6";"2051";"372";"136";"169";"13";"283";"533";"410";"6";"87";"42"
"165005";"165005";"23";"4";"2";"4219";"2247";"18";"5";"2224";"311";"191";"260";"24";"406";"522";"331";"16";"137";"26"
"167001";"167001";"26";"4";"2";"4112";"2284";"31";"6";"2247";"355";"206";"375";"35";"249";"422";"303";"15";"228";"59"
"167002";"167002";"26";"4";"2";"3325";"1755";"28";"4";"1723";"391";"118";"211";"10";"161";"374";"263";"8";"154";"33"
"167003";"167003";"26";"4";"2";"4605";"2550";"30";"3";"2517";"540";"193";"292";"27";"243";"531";"407";"15";"190";"79"
"167004";"167004";"26";"4";"2";"4866";"2694";"29";"5";"2660";"518";"184";"355";"29";"287";"595";"430";"7";"189";"66"
"167005";"167005";"26";"4";"2";"5110";"2778";"28";"12";"2738";"498";"244";"408";"21";"247";"555";"391";"13";"275";"86"
"167006";"167006";"26";"4";"2";"5387";"2828";"35";"12";"2781";"595";"203";"325";"18";"231";"630";"464";"11";"233";"71"
"167007";"167007";"26";"4";"2";"5458";"2816";"26";"11";"2779";"507";"245";"436";"22";"253";"529";"362";"18";"313";"94"
"167008";"167008";"26";"4";"2";"3926";"1792";"13";"13";"1766";"359";"127";"181";"11";"187";"368";"315";"8";"165";"45"
"169001";"169001";"23";"4";"2";"2689";"1315";"17";"7";"1291";"266";"79";"212";"17";"134";"252";"142";"7";"133";"49"
"169002";"169002";"23";"4";"2";"3349";"1909";"26";"3";"1880";"278";"173";"429";"24";"177";"282";"190";"14";"245";"68"
"169003";"169003";"23";"4";"2";"2667";"1592";"22";"2";"1568";"184";"181";"430";"22";"156";"218";"119";"6";"221";"31"
"169004";"169004";"23";"4";"2";"2105";"1238";"20";"2";"1216";"213";"121";"277";"14";"96";"181";"120";"4";"150";"40"
"169005";"169005";"23";"4";"2";"1657";"964";"13";"2";"949";"161";"98";"219";"6";"90";"137";"97";"8";"106";"27"
"169006";"169006";"23";"4";"2";"3799";"1689";"15";"6";"1668";"273";"128";"304";"9";"193";"316";"192";"5";"182";"66"
"169007";"169007";"23";"4";"2";"3365";"1795";"25";"5";"1765";"313";"163";"308";"15";"196";"337";"196";"11";"183";"43"
"169008";"169008";"23";"4";"2";"2025";"1037";"22";"2";"1013";"143";"87";"155";"11";"129";"220";"110";"5";"118";"35"
"169009";"169009";"23";"4";"2";"1801";"1007";"10";"4";"993";"103";"93";"181";"6";"80";"177";"103";"12";"199";"39"
"169010";"169010";"23";"4";"2";"1761";"885";"14";"1";"870";"176";"89";"143";"6";"64";"155";"88";"5";"114";"30"
"169011";"169011";"23";"4";"2";"3378";"1632";"23";"6";"1603";"312";"140";"277";"7";"169";"239";"165";"8";"227";"59"
"169012";"169012";"23";"4";"2";"3239";"1789";"34";"1";"1754";"318";"195";"346";"17";"157";"275";"142";"2";"252";"50"
"169013";"169013";"23";"4";"2";"537";"305";"9";"0";"296";"46";"30";"52";"2";"21";"41";"31";"0";"65";"8"
"171001";"171001";"22";"4";"2";"783";"501";"8";"0";"493";"43";"37";"129";"1";"48";"73";"47";"4";"103";"8"
"171002";"171002";"22";"4";"2";"6400";"3524";"49";"4";"3471";"411";"375";"724";"33";"433";"559";"280";"17";"573";"66"
"173001";"173001";"21";"4";"2";"4855";"2796";"34";"2";"2760";"300";"257";"749";"32";"245";"399";"309";"16";"405";"48"
"173002";"173002";"21";"4";"2";"4833";"2800";"22";"9";"2769";"436";"228";"603";"27";"314";"456";"321";"13";"289";"82"
"173003";"173003";"21";"4";"2";"4921";"2979";"35";"14";"2930";"273";"297";"850";"33";"210";"386";"258";"19";"544";"60"
"173004";"173004";"21";"4";"2";"4821";"2987";"24";"10";"2953";"299";"322";"900";"31";"271";"399";"267";"20";"388";"56"
"173005";"173005";"21";"4";"2";"1267";"829";"11";"3";"815";"63";"72";"250";"13";"66";"113";"84";"1";"140";"13"
"173006";"173006";"21";"4";"2";"4689";"3284";"33";"9";"3242";"216";"386";"1196";"29";"254";"360";"212";"24";"511";"54"
"173007";"173007";"21";"4";"2";"3600";"2603";"30";"4";"2569";"206";"310";"908";"47";"241";"265";"196";"13";"352";"31"
"173008";"173008";"21";"4";"2";"3965";"2582";"33";"9";"2540";"265";"283";"771";"31";"230";"334";"221";"9";"358";"38"
"173009";"173009";"21";"4";"2";"2182";"1552";"19";"1";"1532";"106";"202";"496";"14";"148";"187";"133";"7";"227";"12"
"173010";"173010";"21";"4";"2";"4763";"2979";"29";"5";"2945";"328";"357";"770";"34";"286";"390";"346";"19";"355";"60"
"175001";"175001";"28";"4";"2";"3065";"1740";"26";"4";"1710";"281";"156";"285";"17";"204";"311";"234";"11";"150";"61"
"175002";"175002";"28";"4";"2";"1997";"1110";"15";"3";"1092";"251";"86";"116";"6";"157";"229";"154";"4";"54";"35"
"175003";"175003";"28";"4";"2";"4169";"2208";"30";"10";"2168";"366";"217";"361";"16";"265";"384";"280";"6";"221";"52"
"175004";"175004";"28";"4";"2";"4034";"2085";"21";"8";"2056";"377";"193";"275";"18";"261";"402";"278";"8";"185";"59"
"175005";"175005";"28";"4";"2";"2838";"1478";"21";"5";"1452";"290";"119";"181";"12";"172";"262";"263";"11";"100";"42"
"175006";"175006";"28";"4";"2";"3361";"2070";"25";"2";"2043";"343";"211";"390";"20";"212";"325";"264";"19";"206";"53"
"175007";"175007";"28";"4";"2";"2849";"1602";"14";"5";"1583";"310";"140";"208";"15";"150";"311";"261";"14";"131";"43"
"175008";"175008";"28";"4";"2";"4221";"2491";"27";"5";"2459";"421";"221";"378";"24";"261";"430";"379";"22";"240";"83"
"175009";"175009";"28";"4";"2";"1222";"728";"18";"3";"707";"155";"52";"115";"9";"67";"134";"90";"4";"62";"19"
"181001";"181001";"21";"4";"2";"3235";"2233";"25";"8";"2200";"86";"199";"852";"16";"115";"174";"96";"8";"621";"33"
"181002";"181002";"21";"4";"2";"2477";"1608";"12";"4";"1592";"96";"175";"566";"20";"87";"173";"104";"6";"341";"24"
"181003";"181003";"21";"4";"2";"2535";"1787";"16";"4";"1767";"91";"174";"685";"20";"131";"168";"101";"5";"366";"26"
"181004";"181004";"21";"4";"2";"2548";"1806";"12";"4";"1790";"131";"178";"618";"26";"99";"192";"130";"8";"386";"22"
"181005";"181005";"21";"4";"2";"3963";"2486";"31";"7";"2448";"273";"256";"697";"29";"183";"331";"208";"12";"405";"54"
"181006";"181006";"21";"4";"2";"4221";"2845";"15";"5";"2825";"253";"239";"934";"39";"163";"324";"188";"9";"625";"51"
"181008";"181008";"21";"4";"2";"1354";"891";"4";"1";"886";"26";"59";"416";"11";"19";"57";"29";"1";"243";"25"
"181009";"181009";"21";"4";"2";"3661";"2494";"23";"5";"2466";"127";"232";"969";"21";"140";"203";"133";"0";"602";"39"
"183001";"183001";"23";"4";"2";"1018";"613";"16";"1";"596";"87";"73";"95";"3";"50";"77";"71";"4";"116";"20"
"183002";"183002";"23";"4";"2";"2941";"1414";"22";"3";"1389";"237";"133";"215";"8";"171";"257";"177";"7";"150";"34"
"183003";"183003";"23";"4";"2";"3449";"1517";"23";"5";"1489";"253";"135";"233";"7";"139";"319";"166";"5";"185";"47"
"183004";"183004";"23";"4";"2";"2410";"916";"18";"8";"890";"210";"40";"70";"5";"105";"237";"131";"8";"59";"25"
"183005";"183005";"23";"4";"2";"3861";"1957";"33";"7";"1917";"349";"161";"348";"18";"171";"361";"208";"4";"231";"66"
"185001";"185001";"27";"4";"2";"4177";"1991";"15";"7";"1969";"355";"161";"221";"12";"199";"407";"350";"5";"182";"77"
"185002";"185002";"27";"4";"2";"5115";"2820";"37";"2";"2781";"473";"228";"400";"20";"302";"568";"412";"15";"253";"110"
"185003";"185003";"27";"4";"2";"4981";"2455";"26";"7";"2422";"463";"212";"320";"24";"288";"486";"344";"14";"188";"83"
"185004";"185004";"27";"4";"2";"3837";"2157";"24";"5";"2128";"383";"207";"291";"12";"274";"364";"272";"17";"219";"89"
"185005";"185005";"27";"4";"2";"3618";"1999";"25";"8";"1966";"286";"157";"296";"22";"227";"372";"311";"16";"212";"67"
"185006";"185006";"27";"4";"2";"9106";"4866";"55";"21";"4790";"989";"388";"614";"27";"479";"1000";"746";"13";"386";"148"
"187001";"187001";"23";"4";"2";"2374";"1207";"11";"3";"1193";"154";"113";"330";"7";"90";"204";"110";"0";"152";"33"
"187002";"187002";"23";"4";"2";"3217";"1866";"13";"4";"1849";"256";"179";"570";"12";"170";"277";"155";"10";"169";"51"
"187003";"187003";"23";"4";"2";"3529";"2068";"12";"3";"2053";"255";"202";"620";"23";"215";"298";"150";"11";"234";"45"
"189001";"189001";"22";"4";"2";"8476";"5699";"75";"8";"5616";"585";"688";"1564";"71";"486";"758";"501";"25";"839";"99"
"189002";"189002";"22";"4";"2";"2586";"1842";"12";"2";"1828";"152";"234";"454";"30";"190";"250";"180";"7";"302";"29"
"189003";"189003";"22";"4";"2";"1157";"755";"10";"0";"745";"60";"101";"187";"7";"66";"103";"57";"6";"145";"13"
"189004";"189004";"22";"4";"2";"861";"585";"7";"0";"578";"76";"73";"116";"8";"104";"64";"45";"1";"85";"6"
"201001";"201001";"31";"5";"2";"2042";"1381";"19";"3";"1359";"106";"142";"422";"27";"97";"157";"64";"8";"310";"26"
"201002";"201002";"31";"5";"2";"2542";"1579";"19";"3";"1557";"194";"168";"296";"13";"169";"290";"151";"17";"243";"16"
"201003";"201003";"31";"5";"2";"2658";"1762";"24";"2";"1736";"199";"208";"419";"18";"137";"241";"152";"10";"325";"27"
"201004";"201004";"31";"5";"2";"3318";"1846";"33";"4";"1809";"152";"167";"379";"22";"161";"226";"151";"19";"479";"53"
"201005";"201005";"31";"5";"2";"3404";"2168";"22";"6";"2140";"195";"296";"605";"27";"159";"249";"121";"12";"430";"46"
"201006";"201006";"31";"5";"2";"2192";"1357";"18";"4";"1335";"121";"163";"310";"12";"151";"190";"80";"17";"264";"27"
"205001";"205001";"30";"5";"2";"3224";"2069";"15";"6";"2048";"190";"201";"600";"23";"129";"344";"131";"16";"371";"43"
"205002";"205002";"30";"5";"2";"4692";"2921";"43";"7";"2871";"286";"342";"760";"38";"207";"520";"220";"6";"443";"49"
"205003";"205003";"30";"5";"2";"3880";"2412";"28";"4";"2380";"242";"272";"573";"28";"216";"469";"187";"17";"337";"39"
"205004";"205004";"30";"5";"2";"2694";"1753";"9";"3";"1741";"120";"222";"464";"26";"162";"286";"157";"4";"275";"25"
"205005";"205005";"30";"5";"2";"1260";"863";"2";"2";"859";"45";"82";"249";"12";"51";"145";"43";"11";"203";"18"
"207001";"207001";"31";"5";"2";"4069";"2702";"30";"6";"2666";"170";"346";"678";"27";"282";"386";"201";"10";"535";"31"
"207002";"207002";"31";"5";"2";"4257";"2786";"26";"4";"2756";"201";"334";"646";"41";"268";"450";"244";"12";"508";"52"
"207003";"207003";"31";"5";"2";"4239";"2318";"25";"7";"2286";"248";"230";"328";"21";"284";"462";"316";"9";"342";"46"
"208001";"208001";"30";"5";"2";"4025";"2210";"27";"6";"2177";"274";"193";"452";"27";"193";"323";"193";"14";"469";"39"
"208002";"208002";"30";"5";"2";"3375";"2092";"21";"2";"2069";"167";"231";"573";"25";"163";"244";"130";"10";"486";"40"
